Sc,Tech,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
SC_0,MINCOA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,MINGAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,PWRGAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,PWRCOA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,PWRTRN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,MINLND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,LNDMAIHR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,LNDRICHR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,LNDMAIHI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,LNDRICHI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,LNDFOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,LNDBLT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,LNDWAT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,MINPRC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,MINHYD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,MINSOL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,MINWND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,PWRHYD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,PWRSOL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,PWRWND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,DEMAGRDSL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,DEMAGRSURWAT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,DEMAGRGWTWAT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,DEMPWRSURWAT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,DEMPUBSURWAT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,DEMPUBGWTWAT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SC_0,DEMTRABIO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
