r_x,f,t,y,m,r_y,l,r,ProductionByTechnologyByMode
RE1,PWRWAT,DEMPWRSURWAT,2032,1,RE1,S21,RE1,0.0364
RE1,PWRWAT,DEMPWRSURWAT,2033,1,RE1,S21,RE1,0.0391
RE1,PWRWAT,DEMPWRSURWAT,2034,1,RE1,S21,RE1,0.0421
RE1,PWRWAT,DEMPWRSURWAT,2035,1,RE1,S21,RE1,0.0451
RE1,TRABIO,DEMTRABIO,2020,1,RE1,S21,RE1,3.3099
RE1,TRABIO,DEMTRABIO,2021,1,RE1,S21,RE1,3.4094
RE1,TRABIO,DEMTRABIO,2022,1,RE1,S21,RE1,3.5085
RE1,TRABIO,DEMTRABIO,2023,1,RE1,S21,RE1,3.608
RE1,TRABIO,DEMTRABIO,2024,1,RE1,S21,RE1,3.7072
RE1,TRABIO,DEMTRABIO,2025,1,RE1,S21,RE1,3.8396
RE1,TRABIO,DEMTRABIO,2026,1,RE1,S21,RE1,3.939
RE1,TRABIO,DEMTRABIO,2027,1,RE1,S21,RE1,4.0382
RE1,TRABIO,DEMTRABIO,2028,1,RE1,S21,RE1,4.1706
RE1,TRABIO,DEMTRABIO,2029,1,RE1,S21,RE1,4.303
RE1,TRABIO,DEMTRABIO,2030,1,RE1,S21,RE1,4.4355
RE1,TRABIO,DEMTRABIO,2031,1,RE1,S21,RE1,4.5679
RE1,TRABIO,DEMTRABIO,2032,1,RE1,S21,RE1,4.7003
RE1,TRABIO,DEMTRABIO,2033,1,RE1,S21,RE1,4.8327
RE1,TRABIO,DEMTRABIO,2034,1,RE1,S21,RE1,4.9651
RE1,TRABIO,DEMTRABIO,2035,1,RE1,S21,RE1,5.0973
RE1,LBLT,LNDBLT,2020,1,RE1,S21,RE1,4.965
RE1,LBLT,LNDBLT,2021,1,RE1,S21,RE1,5.0312
RE1,LBLT,LNDBLT,2022,1,RE1,S21,RE1,5.0643
RE1,LBLT,LNDBLT,2023,1,RE1,S21,RE1,5.1305
RE1,LBLT,LNDBLT,2024,1,RE1,S21,RE1,5.1636
RE1,LBLT,LNDBLT,2025,1,RE1,S21,RE1,5.2298
RE1,LBLT,LNDBLT,2026,1,RE1,S21,RE1,5.2629
RE1,LBLT,LNDBLT,2027,1,RE1,S21,RE1,5.3291
RE1,LBLT,LNDBLT,2028,1,RE1,S21,RE1,5.3622
RE1,LBLT,LNDBLT,2029,1,RE1,S21,RE1,5.4284
RE1,LBLT,LNDBLT,2030,1,RE1,S21,RE1,5.4946
RE1,LBLT,LNDBLT,2031,1,RE1,S21,RE1,5.5277
RE1,LBLT,LNDBLT,2032,1,RE1,S21,RE1,5.5939
RE1,LBLT,LNDBLT,2033,1,RE1,S21,RE1,5.6601
RE1,LBLT,LNDBLT,2034,1,RE1,S21,RE1,5.6932
RE1,LBLT,LNDBLT,2035,1,RE1,S21,RE1,5.7594
RE1,WTREVT,LNDBLT,2020,1,RE1,S21,RE1,3.7238
RE1,WTREVT,LNDBLT,2021,1,RE1,S21,RE1,3.7734
RE1,WTREVT,LNDBLT,2022,1,RE1,S21,RE1,3.7982
RE1,WTREVT,LNDBLT,2023,1,RE1,S21,RE1,3.8479
RE1,WTREVT,LNDBLT,2024,1,RE1,S21,RE1,3.8727
RE1,WTREVT,LNDBLT,2025,1,RE1,S21,RE1,3.9224
RE1,WTREVT,LNDBLT,2026,1,RE1,S21,RE1,3.9472
RE1,WTREVT,LNDBLT,2027,1,RE1,S21,RE1,3.9968
RE1,WTREVT,LNDBLT,2028,1,RE1,S21,RE1,4.0216
RE1,WTREVT,LNDBLT,2029,1,RE1,S21,RE1,4.0713
RE1,WTREVT,LNDBLT,2030,1,RE1,S21,RE1,4.121
RE1,WTREVT,LNDBLT,2031,1,RE1,S21,RE1,4.1458
RE1,WTREVT,LNDBLT,2032,1,RE1,S21,RE1,4.1954
RE1,WTREVT,LNDBLT,2033,1,RE1,S21,RE1,4.2451
RE1,WTREVT,LNDBLT,2034,1,RE1,S21,RE1,4.2699
RE1,WTREVT,LNDBLT,2035,1,RE1,S21,RE1,4.3196
RE1,WTRGWT,LNDBLT,2020,1,RE1,S21,RE1,0.1986
RE1,WTRGWT,LNDBLT,2021,1,RE1,S21,RE1,0.2012
RE1,WTRGWT,LNDBLT,2022,1,RE1,S21,RE1,0.2026
RE1,WTRGWT,LNDBLT,2023,1,RE1,S21,RE1,0.2052
RE1,WTRGWT,LNDBLT,2024,1,RE1,S21,RE1,0.2065
RE1,WTRGWT,LNDBLT,2025,1,RE1,S21,RE1,0.2092
RE1,WTRGWT,LNDBLT,2026,1,RE1,S21,RE1,0.2105
RE1,WTRGWT,LNDBLT,2027,1,RE1,S21,RE1,0.2132
RE1,WTRGWT,LNDBLT,2028,1,RE1,S21,RE1,0.2145
RE1,WTRGWT,LNDBLT,2029,1,RE1,S21,RE1,0.2171
RE1,WTRGWT,LNDBLT,2030,1,RE1,S21,RE1,0.2198
RE1,WTRGWT,LNDBLT,2031,1,RE1,S21,RE1,0.2211
RE1,WTRGWT,LNDBLT,2032,1,RE1,S21,RE1,0.2238
RE1,WTRGWT,LNDBLT,2033,1,RE1,S21,RE1,0.2264
RE1,WTRGWT,LNDBLT,2034,1,RE1,S21,RE1,0.2277
RE1,WTRGWT,LNDBLT,2035,1,RE1,S21,RE1,0.2304
RE1,WTRRUN,LNDBLT,2020,1,RE1,S21,RE1,2.0356
RE1,WTRRUN,LNDBLT,2021,1,RE1,S21,RE1,2.0628
RE1,WTRRUN,LNDBLT,2022,1,RE1,S21,RE1,2.0764
RE1,WTRRUN,LNDBLT,2023,1,RE1,S21,RE1,2.1035
RE1,WTRRUN,LNDBLT,2024,1,RE1,S21,RE1,2.1171
RE1,WTRRUN,LNDBLT,2025,1,RE1,S21,RE1,2.1442
RE1,WTRRUN,LNDBLT,2026,1,RE1,S21,RE1,2.1578
RE1,WTRRUN,LNDBLT,2027,1,RE1,S21,RE1,2.1849
RE1,WTRRUN,LNDBLT,2028,1,RE1,S21,RE1,2.1985
RE1,WTRRUN,LNDBLT,2029,1,RE1,S21,RE1,2.2256
RE1,WTRRUN,LNDBLT,2030,1,RE1,S21,RE1,2.2528
RE1,WTRRUN,LNDBLT,2031,1,RE1,S21,RE1,2.2664
RE1,WTRRUN,LNDBLT,2032,1,RE1,S21,RE1,2.2935
RE1,WTRRUN,LNDBLT,2033,1,RE1,S21,RE1,2.3206
RE1,WTRRUN,LNDBLT,2034,1,RE1,S21,RE1,2.3342
RE1,WTRRUN,LNDBLT,2035,1,RE1,S21,RE1,2.3614
RE1,LFOR,LNDFOR,2020,1,RE1,S21,RE1,83.9416
RE1,LFOR,LNDFOR,2021,1,RE1,S21,RE1,83.8863
RE1,LFOR,LNDFOR,2022,1,RE1,S21,RE1,83.8684
RE1,LFOR,LNDFOR,2023,1,RE1,S21,RE1,83.8177
RE1,LFOR,LNDFOR,2024,1,RE1,S21,RE1,83.9236
RE1,LFOR,LNDFOR,2025,1,RE1,S21,RE1,84.0174
RE1,LFOR,LNDFOR,2026,1,RE1,S21,RE1,83.9429
RE1,LFOR,LNDFOR,2027,1,RE1,S21,RE1,83.8346
RE1,LFOR,LNDFOR,2028,1,RE1,S21,RE1,83.7512
RE1,LFOR,LNDFOR,2029,1,RE1,S21,RE1,83.6344
RE1,LFOR,LNDFOR,2030,1,RE1,S21,RE1,83.5169
RE1,LFOR,LNDFOR,2031,1,RE1,S21,RE1,83.261
RE1,LFOR,LNDFOR,2032,1,RE1,S21,RE1,82.9041
RE1,LFOR,LNDFOR,2033,1,RE1,S21,RE1,82.5464
RE1,LFOR,LNDFOR,2034,1,RE1,S21,RE1,82.2886
RE1,LFOR,LNDFOR,2035,1,RE1,S21,RE1,81.9277
RE1,WTREVT,LNDFOR,2020,1,RE1,S21,RE1,71.3504
RE1,WTREVT,LNDFOR,2021,1,RE1,S21,RE1,71.3033
RE1,WTREVT,LNDFOR,2022,1,RE1,S21,RE1,71.2881
RE1,WTREVT,LNDFOR,2023,1,RE1,S21,RE1,71.245
RE1,WTREVT,LNDFOR,2024,1,RE1,S21,RE1,71.3351
RE1,WTREVT,LNDFOR,2025,1,RE1,S21,RE1,71.4148
RE1,WTREVT,LNDFOR,2026,1,RE1,S21,RE1,71.3515
RE1,WTREVT,LNDFOR,2027,1,RE1,S21,RE1,71.2594
RE1,WTREVT,LNDFOR,2028,1,RE1,S21,RE1,71.1885
RE1,WTREVT,LNDFOR,2029,1,RE1,S21,RE1,71.0893
RE1,WTREVT,LNDFOR,2030,1,RE1,S21,RE1,70.9894
RE1,WTREVT,LNDFOR,2031,1,RE1,S21,RE1,70.7718
RE1,WTREVT,LNDFOR,2032,1,RE1,S21,RE1,70.4685
RE1,WTREVT,LNDFOR,2033,1,RE1,S21,RE1,70.1644
RE1,WTREVT,LNDFOR,2034,1,RE1,S21,RE1,69.9453
RE1,WTREVT,LNDFOR,2035,1,RE1,S21,RE1,69.6386
RE1,WTRGWT,LNDFOR,2020,1,RE1,S21,RE1,2.5182
RE1,WTRGWT,LNDFOR,2021,1,RE1,S21,RE1,2.5166
RE1,WTRGWT,LNDFOR,2022,1,RE1,S21,RE1,2.5161
RE1,WTRGWT,LNDFOR,2023,1,RE1,S21,RE1,2.5145
RE1,WTRGWT,LNDFOR,2024,1,RE1,S21,RE1,2.5177
RE1,WTRGWT,LNDFOR,2025,1,RE1,S21,RE1,2.5205
RE1,WTRGWT,LNDFOR,2026,1,RE1,S21,RE1,2.5183
RE1,WTRGWT,LNDFOR,2027,1,RE1,S21,RE1,2.515
RE1,WTRGWT,LNDFOR,2028,1,RE1,S21,RE1,2.5125
RE1,WTRGWT,LNDFOR,2029,1,RE1,S21,RE1,2.509
RE1,WTRGWT,LNDFOR,2030,1,RE1,S21,RE1,2.5055
RE1,WTRGWT,LNDFOR,2031,1,RE1,S21,RE1,2.4978
RE1,WTRGWT,LNDFOR,2032,1,RE1,S21,RE1,2.4871
RE1,WTRGWT,LNDFOR,2033,1,RE1,S21,RE1,2.4764
RE1,WTRGWT,LNDFOR,2034,1,RE1,S21,RE1,2.4687
RE1,WTRGWT,LNDFOR,2035,1,RE1,S21,RE1,2.4578
RE1,WTRRUN,LNDFOR,2020,1,RE1,S21,RE1,26.8613
RE1,WTRRUN,LNDFOR,2021,1,RE1,S21,RE1,26.8436
RE1,WTRRUN,LNDFOR,2022,1,RE1,S21,RE1,26.8379
RE1,WTRRUN,LNDFOR,2023,1,RE1,S21,RE1,26.8217
RE1,WTRRUN,LNDFOR,2024,1,RE1,S21,RE1,26.8555
RE1,WTRRUN,LNDFOR,2025,1,RE1,S21,RE1,26.8856
RE1,WTRRUN,LNDFOR,2026,1,RE1,S21,RE1,26.8617
RE1,WTRRUN,LNDFOR,2027,1,RE1,S21,RE1,26.8271
RE1,WTRRUN,LNDFOR,2028,1,RE1,S21,RE1,26.8004
RE1,WTRRUN,LNDFOR,2029,1,RE1,S21,RE1,26.763
RE1,WTRRUN,LNDFOR,2030,1,RE1,S21,RE1,26.7254
RE1,WTRRUN,LNDFOR,2031,1,RE1,S21,RE1,26.6435
RE1,WTRRUN,LNDFOR,2032,1,RE1,S21,RE1,26.5293
RE1,WTRRUN,LNDFOR,2033,1,RE1,S21,RE1,26.4148
RE1,WTRRUN,LNDFOR,2034,1,RE1,S21,RE1,26.3324
RE1,WTRRUN,LNDFOR,2035,1,RE1,S21,RE1,26.2169
RE1,CRPMAI,LNDMAIIRR,2020,1,RE1,S21,RE1,0.0513
RE1,CRPMAI,LNDMAIIRR,2021,1,RE1,S21,RE1,0.1114
RE1,CRPMAI,LNDMAIIRR,2022,1,RE1,S21,RE1,0.1718
RE1,CRPMAI,LNDMAIIRR,2023,1,RE1,S21,RE1,0.2319
RE1,CRPMAI,LNDMAIIRR,2024,1,RE1,S21,RE1,0.2923
RE1,CRPMAI,LNDMAIIRR,2025,1,RE1,S21,RE1,0.5863
RE1,CRPMAI,LNDMAIIRR,2026,1,RE1,S21,RE1,0.6008
RE1,CRPMAI,LNDMAIIRR,2027,1,RE1,S21,RE1,0.6155
RE1,CRPMAI,LNDMAIIRR,2028,1,RE1,S21,RE1,0.6338
RE1,CRPMAI,LNDMAIIRR,2029,1,RE1,S21,RE1,0.6522
RE1,CRPMAI,LNDMAIIRR,2030,1,RE1,S21,RE1,0.6708
RE1,CRPMAI,LNDMAIIRR,2031,1,RE1,S21,RE1,0.6895
RE1,CRPMAI,LNDMAIIRR,2032,1,RE1,S21,RE1,0.7082
RE1,CRPMAI,LNDMAIIRR,2033,1,RE1,S21,RE1,0.7268
RE1,CRPMAI,LNDMAIIRR,2034,1,RE1,S21,RE1,0.7455
RE1,CRPMAI,LNDMAIIRR,2035,1,RE1,S21,RE1,0.7645
RE1,WTREVT,LNDMAIIRR,2020,1,RE1,S21,RE1,0.0562
RE1,WTREVT,LNDMAIIRR,2021,1,RE1,S21,RE1,0.1221
RE1,WTREVT,LNDMAIIRR,2022,1,RE1,S21,RE1,0.1884
RE1,WTREVT,LNDMAIIRR,2023,1,RE1,S21,RE1,0.2543
RE1,WTREVT,LNDMAIIRR,2024,1,RE1,S21,RE1,0.3205
RE1,WTREVT,LNDMAIIRR,2025,1,RE1,S21,RE1,0.6429
RE1,WTREVT,LNDMAIIRR,2026,1,RE1,S21,RE1,0.6587
RE1,WTREVT,LNDMAIIRR,2027,1,RE1,S21,RE1,0.6749
RE1,WTREVT,LNDMAIIRR,2028,1,RE1,S21,RE1,0.695
RE1,WTREVT,LNDMAIIRR,2029,1,RE1,S21,RE1,0.7151
RE1,WTREVT,LNDMAIIRR,2030,1,RE1,S21,RE1,0.7356
RE1,WTREVT,LNDMAIIRR,2031,1,RE1,S21,RE1,0.756
RE1,WTREVT,LNDMAIIRR,2032,1,RE1,S21,RE1,0.7765
RE1,WTREVT,LNDMAIIRR,2033,1,RE1,S21,RE1,0.797
RE1,WTREVT,LNDMAIIRR,2034,1,RE1,S21,RE1,0.8174
RE1,WTREVT,LNDMAIIRR,2035,1,RE1,S21,RE1,0.8383
RE1,WTRGWT,LNDMAIIRR,2020,1,RE1,S21,RE1,0.0112
RE1,WTRGWT,LNDMAIIRR,2021,1,RE1,S21,RE1,0.0244
RE1,WTRGWT,LNDMAIIRR,2022,1,RE1,S21,RE1,0.0377
RE1,WTRGWT,LNDMAIIRR,2023,1,RE1,S21,RE1,0.0509
RE1,WTRGWT,LNDMAIIRR,2024,1,RE1,S21,RE1,0.0641
RE1,WTRGWT,LNDMAIIRR,2025,1,RE1,S21,RE1,0.1286
RE1,WTRGWT,LNDMAIIRR,2026,1,RE1,S21,RE1,0.1317
RE1,WTRGWT,LNDMAIIRR,2027,1,RE1,S21,RE1,0.135
RE1,WTRGWT,LNDMAIIRR,2028,1,RE1,S21,RE1,0.139
RE1,WTRGWT,LNDMAIIRR,2029,1,RE1,S21,RE1,0.143
RE1,WTRGWT,LNDMAIIRR,2030,1,RE1,S21,RE1,0.1471
RE1,WTRGWT,LNDMAIIRR,2031,1,RE1,S21,RE1,0.1512
RE1,WTRGWT,LNDMAIIRR,2032,1,RE1,S21,RE1,0.1553
RE1,WTRGWT,LNDMAIIRR,2033,1,RE1,S21,RE1,0.1594
RE1,WTRGWT,LNDMAIIRR,2034,1,RE1,S21,RE1,0.1635
RE1,WTRGWT,LNDMAIIRR,2035,1,RE1,S21,RE1,0.1677
RE1,WTRRUN,LNDMAIIRR,2020,1,RE1,S21,RE1,0.1012
RE1,WTRRUN,LNDMAIIRR,2021,1,RE1,S21,RE1,0.2198
RE1,WTRRUN,LNDMAIIRR,2022,1,RE1,S21,RE1,0.3391
RE1,WTRRUN,LNDMAIIRR,2023,1,RE1,S21,RE1,0.4577
RE1,WTRRUN,LNDMAIIRR,2024,1,RE1,S21,RE1,0.5769
RE1,WTRRUN,LNDMAIIRR,2025,1,RE1,S21,RE1,1.1573
RE1,WTRRUN,LNDMAIIRR,2026,1,RE1,S21,RE1,1.1857
RE1,WTRRUN,LNDMAIIRR,2027,1,RE1,S21,RE1,1.2148
RE1,WTRRUN,LNDMAIIRR,2028,1,RE1,S21,RE1,1.251
RE1,WTRRUN,LNDMAIIRR,2029,1,RE1,S21,RE1,1.2872
RE1,WTRRUN,LNDMAIIRR,2030,1,RE1,S21,RE1,1.324
RE1,WTRRUN,LNDMAIIRR,2031,1,RE1,S21,RE1,1.3608
RE1,WTRRUN,LNDMAIIRR,2032,1,RE1,S21,RE1,1.3977
RE1,WTRRUN,LNDMAIIRR,2033,1,RE1,S21,RE1,1.4345
RE1,WTRRUN,LNDMAIIRR,2034,1,RE1,S21,RE1,1.4714
RE1,WTRRUN,LNDMAIIRR,2035,1,RE1,S21,RE1,1.5089
RE1,CRPMAI,LNDMAIRNF,2020,1,RE1,S21,RE1,0.4601
RE1,CRPMAI,LNDMAIRNF,2021,1,RE1,S21,RE1,0.4141
RE1,CRPMAI,LNDMAIRNF,2022,1,RE1,S21,RE1,0.368
RE1,CRPMAI,LNDMAIRNF,2023,1,RE1,S21,RE1,0.322
RE1,CRPMAI,LNDMAIRNF,2024,1,RE1,S21,RE1,0.276
RE1,WTREVT,LNDMAIRNF,2020,1,RE1,S21,RE1,0.5428
RE1,WTREVT,LNDMAIRNF,2021,1,RE1,S21,RE1,0.4886
RE1,WTREVT,LNDMAIRNF,2022,1,RE1,S21,RE1,0.4343
RE1,WTREVT,LNDMAIRNF,2023,1,RE1,S21,RE1,0.38
RE1,WTREVT,LNDMAIRNF,2024,1,RE1,S21,RE1,0.3257
RE1,WTRGWT,LNDMAIRNF,2020,1,RE1,S21,RE1,0.1086
RE1,WTRGWT,LNDMAIRNF,2021,1,RE1,S21,RE1,0.0977
RE1,WTRGWT,LNDMAIRNF,2022,1,RE1,S21,RE1,0.0869
RE1,WTRGWT,LNDMAIRNF,2023,1,RE1,S21,RE1,0.076
RE1,WTRGWT,LNDMAIRNF,2024,1,RE1,S21,RE1,0.0651
RE1,WTRRUN,LNDMAIRNF,2020,1,RE1,S21,RE1,0.9771
RE1,WTRRUN,LNDMAIRNF,2021,1,RE1,S21,RE1,0.8794
RE1,WTRRUN,LNDMAIRNF,2022,1,RE1,S21,RE1,0.7817
RE1,WTRRUN,LNDMAIRNF,2023,1,RE1,S21,RE1,0.684
RE1,WTRRUN,LNDMAIRNF,2024,1,RE1,S21,RE1,0.5863
RE1,CRPRIC,LNDRICIRR,2020,1,RE1,S21,RE1,0.1975
RE1,CRPRIC,LNDRICIRR,2021,1,RE1,S21,RE1,0.2289
RE1,CRPRIC,LNDRICIRR,2022,1,RE1,S21,RE1,0.2672
RE1,CRPRIC,LNDRICIRR,2023,1,RE1,S21,RE1,0.3057
RE1,CRPRIC,LNDRICIRR,2024,1,RE1,S21,RE1,0.516
RE1,CRPRIC,LNDRICIRR,2025,1,RE1,S21,RE1,0.5263
RE1,CRPRIC,LNDRICIRR,2026,1,RE1,S21,RE1,0.5369
RE1,CRPRIC,LNDRICIRR,2027,1,RE1,S21,RE1,0.5475
RE1,CRPRIC,LNDRICIRR,2028,1,RE1,S21,RE1,0.5584
RE1,CRPRIC,LNDRICIRR,2029,1,RE1,S21,RE1,0.5697
RE1,CRPRIC,LNDRICIRR,2030,1,RE1,S21,RE1,0.5809
RE1,CRPRIC,LNDRICIRR,2031,1,RE1,S21,RE1,0.5925
RE1,CRPRIC,LNDRICIRR,2032,1,RE1,S21,RE1,0.6044
RE1,CRPRIC,LNDRICIRR,2033,1,RE1,S21,RE1,0.6167
RE1,CRPRIC,LNDRICIRR,2034,1,RE1,S21,RE1,0.6289
RE1,CRPRIC,LNDRICIRR,2035,1,RE1,S21,RE1,0.6415
RE1,WTREVT,LNDRICIRR,2020,1,RE1,S21,RE1,0.1365
RE1,WTREVT,LNDRICIRR,2021,1,RE1,S21,RE1,0.1582
RE1,WTREVT,LNDRICIRR,2022,1,RE1,S21,RE1,0.1847
RE1,WTREVT,LNDRICIRR,2023,1,RE1,S21,RE1,0.2113
RE1,WTREVT,LNDRICIRR,2024,1,RE1,S21,RE1,0.3567
RE1,WTREVT,LNDRICIRR,2025,1,RE1,S21,RE1,0.3638
RE1,WTREVT,LNDRICIRR,2026,1,RE1,S21,RE1,0.3711
RE1,WTREVT,LNDRICIRR,2027,1,RE1,S21,RE1,0.3784
RE1,WTREVT,LNDRICIRR,2028,1,RE1,S21,RE1,0.386
RE1,WTREVT,LNDRICIRR,2029,1,RE1,S21,RE1,0.3938
