r,t,y,AnnualFixedOperatingCost
RE1,MINCOA,2020,0.0
RE1,MINCOA,2021,0.0
RE1,MINCOA,2022,0.0
RE1,MINCOA,2023,0.0
RE1,MINCOA,2024,0.0
RE1,MINCOA,2025,0.0
RE1,MINCOA,2026,0.0
RE1,MINCOA,2027,0.0
RE1,MINCOA,2028,0.0
RE1,MINCOA,2029,0.0
RE1,MINCOA,2030,0.0
RE1,MINCOA,2031,0.0
RE1,MINCOA,2032,0.0
RE1,MINCOA,2033,0.0
RE1,MINCOA,2034,0.0
RE1,MINCOA,2035,0.0
RE1,MINCOA,2036,0.0
RE1,MINCOA,2037,0.0
RE1,MINCOA,2038,0.0
RE1,MINCOA,2039,0.0
RE1,MINCOA,2040,0.0
RE1,MINGAS,2020,0.0
RE1,MINGAS,2021,0.0
RE1,MINGAS,2022,0.0
RE1,MINGAS,2023,0.0
RE1,MINGAS,2024,0.0
RE1,MINGAS,2025,0.0
RE1,MINGAS,2026,0.0
RE1,MINGAS,2027,0.0
RE1,MINGAS,2028,0.0
RE1,MINGAS,2029,0.0
RE1,MINGAS,2030,0.0
RE1,MINGAS,2031,0.0
RE1,MINGAS,2032,0.0
RE1,MINGAS,2033,0.0
RE1,MINGAS,2034,0.0
RE1,MINGAS,2035,0.0
RE1,MINGAS,2036,0.0
RE1,MINGAS,2037,0.0
RE1,MINGAS,2038,0.0
RE1,MINGAS,2039,0.0
RE1,MINGAS,2040,0.0
RE1,MINHYD,2020,0.0
RE1,MINHYD,2021,0.0
RE1,MINHYD,2022,0.0
RE1,MINHYD,2023,0.0
RE1,MINHYD,2024,0.0
RE1,MINHYD,2025,0.0
RE1,MINHYD,2026,0.0
RE1,MINHYD,2027,0.0
RE1,MINHYD,2028,0.0
RE1,MINHYD,2029,0.0
RE1,MINHYD,2030,0.0
RE1,MINHYD,2031,0.0
RE1,MINHYD,2032,0.0
RE1,MINHYD,2033,0.0
RE1,MINHYD,2034,0.0
RE1,MINHYD,2035,0.0
RE1,MINHYD,2036,0.0
RE1,MINHYD,2037,0.0
RE1,MINHYD,2038,0.0
RE1,MINHYD,2039,0.0
RE1,MINHYD,2040,0.0
RE1,MINSOL,2020,0.0
RE1,MINSOL,2021,0.0
RE1,MINSOL,2022,0.0
RE1,MINSOL,2023,0.0
RE1,MINSOL,2024,0.0
RE1,MINSOL,2025,0.0
RE1,MINSOL,2026,0.0
RE1,MINSOL,2027,0.0
RE1,MINSOL,2028,0.0
RE1,MINSOL,2029,0.0
RE1,MINSOL,2030,0.0
RE1,MINSOL,2031,0.0
RE1,MINSOL,2032,0.0
RE1,MINSOL,2033,0.0
RE1,MINSOL,2034,0.0
RE1,MINSOL,2035,0.0
RE1,MINSOL,2036,0.0
RE1,MINSOL,2037,0.0
RE1,MINSOL,2038,0.0
RE1,MINSOL,2039,0.0
RE1,MINSOL,2040,0.0
RE1,MINWND,2020,0.0
RE1,MINWND,2021,0.0
RE1,MINWND,2022,0.0
RE1,MINWND,2023,0.0
RE1,MINWND,2024,0.0
RE1,MINWND,2025,0.0
RE1,MINWND,2026,0.0
RE1,MINWND,2027,0.0
RE1,MINWND,2028,0.0
RE1,MINWND,2029,0.0
RE1,MINWND,2030,0.0
RE1,MINWND,2031,0.0
RE1,MINWND,2032,0.0
RE1,MINWND,2033,0.0
RE1,MINWND,2034,0.0
RE1,MINWND,2035,0.0
RE1,MINWND,2036,0.0
RE1,MINWND,2037,0.0
RE1,MINWND,2038,0.0
RE1,MINWND,2039,0.0
RE1,MINWND,2040,0.0
RE1,PWRCOA,2020,0.0
RE1,PWRCOA,2021,0.0
RE1,PWRCOA,2022,0.0
RE1,PWRCOA,2023,0.0
RE1,PWRCOA,2024,0.0
RE1,PWRCOA,2025,0.0
RE1,PWRCOA,2026,0.0
RE1,PWRCOA,2027,0.0
RE1,PWRCOA,2028,0.0
RE1,PWRCOA,2029,0.0
RE1,PWRCOA,2030,0.0
RE1,PWRCOA,2031,0.0
RE1,PWRCOA,2032,0.0
RE1,PWRCOA,2033,0.0
RE1,PWRCOA,2034,0.0
RE1,PWRCOA,2035,0.0
RE1,PWRCOA,2036,0.0
RE1,PWRCOA,2037,0.0
RE1,PWRCOA,2038,0.0
RE1,PWRCOA,2039,0.0
RE1,PWRCOA,2040,0.0
RE1,PWRGAS,2020,161.7461
RE1,PWRGAS,2021,166.5984
RE1,PWRGAS,2022,171.5964
RE1,PWRGAS,2023,176.7443
RE1,PWRGAS,2024,182.0466
RE1,PWRGAS,2025,187.508
RE1,PWRGAS,2026,193.1332
RE1,PWRGAS,2027,198.9272
RE1,PWRGAS,2028,204.8951
RE1,PWRGAS,2029,211.0419
RE1,PWRGAS,2030,217.3732
RE1,PWRGAS,2031,223.8944
RE1,PWRGAS,2032,230.6112
RE1,PWRGAS,2033,237.5295
RE1,PWRGAS,2034,244.6554
RE1,PWRGAS,2035,251.9951
RE1,PWRGAS,2036,259.5549
RE1,PWRGAS,2037,267.3416
RE1,PWRGAS,2038,275.3618
RE1,PWRGAS,2039,283.6227
RE1,PWRGAS,2040,292.1314
RE1,PWRHYD,2020,386.9969
RE1,PWRHYD,2021,398.6068
RE1,PWRHYD,2022,410.565
RE1,PWRHYD,2023,422.882
RE1,PWRHYD,2024,435.5684
RE1,PWRHYD,2025,448.6355
RE1,PWRHYD,2026,462.0945
RE1,PWRHYD,2027,475.9574
RE1,PWRHYD,2028,490.2361
RE1,PWRHYD,2029,504.9432
RE1,PWRHYD,2030,520.0915
RE1,PWRHYD,2031,535.6942
RE1,PWRHYD,2032,551.765
RE1,PWRHYD,2033,568.318
RE1,PWRHYD,2034,585.3675
RE1,PWRHYD,2035,602.9286
RE1,PWRHYD,2036,621.0164
RE1,PWRHYD,2037,639.6469
RE1,PWRHYD,2038,658.8363
RE1,PWRHYD,2039,678.6014
RE1,PWRHYD,2040,698.9595
RE1,PWRSOL,2020,24.3021
RE1,PWRSOL,2021,25.0312
RE1,PWRSOL,2022,25.7821
RE1,PWRSOL,2023,26.5556
RE1,PWRSOL,2024,27.3522
RE1,PWRSOL,2025,28.1728
RE1,PWRSOL,2026,29.018
RE1,PWRSOL,2027,29.8885
RE1,PWRSOL,2028,30.7852
RE1,PWRSOL,2029,31.7087
RE1,PWRSOL,2030,32.66
RE1,PWRSOL,2031,33.6398
RE1,PWRSOL,2032,34.649
RE1,PWRSOL,2033,35.6885
RE1,PWRSOL,2034,36.7591
RE1,PWRSOL,2035,37.8619
RE1,PWRSOL,2036,38.9977
RE1,PWRSOL,2037,40.1677
RE1,PWRSOL,2038,41.3727
RE1,PWRSOL,2039,42.6139
RE1,PWRSOL,2040,43.8923
RE1,PWRTRN,2020,0.0
RE1,PWRTRN,2021,0.0
RE1,PWRTRN,2022,0.0
RE1,PWRTRN,2023,0.0
RE1,PWRTRN,2024,0.0
RE1,PWRTRN,2025,0.0
RE1,PWRTRN,2026,0.0
RE1,PWRTRN,2027,0.0
RE1,PWRTRN,2028,0.0
RE1,PWRTRN,2029,0.0
RE1,PWRTRN,2030,0.0
RE1,PWRTRN,2031,0.0
RE1,PWRTRN,2032,0.0
RE1,PWRTRN,2033,0.0
RE1,PWRTRN,2034,0.0
RE1,PWRTRN,2035,0.0
RE1,PWRTRN,2036,0.0
RE1,PWRTRN,2037,0.0
RE1,PWRTRN,2038,0.0
RE1,PWRTRN,2039,0.0
RE1,PWRTRN,2040,0.0
RE1,PWRWND,2020,0.0
RE1,PWRWND,2021,0.0
RE1,PWRWND,2022,0.0
RE1,PWRWND,2023,0.0
RE1,PWRWND,2024,0.0
RE1,PWRWND,2025,0.0
RE1,PWRWND,2026,0.0
RE1,PWRWND,2027,0.0
RE1,PWRWND,2028,0.0
RE1,PWRWND,2029,0.0
RE1,PWRWND,2030,0.0
RE1,PWRWND,2031,0.0
RE1,PWRWND,2032,0.0
RE1,PWRWND,2033,0.0
RE1,PWRWND,2034,0.0
RE1,PWRWND,2035,0.0
RE1,PWRWND,2036,0.0
