r,t,y,CapitalInvestment
RE1,MINCOA,2020,0.0
RE1,MINCOA,2021,0.0
RE1,MINCOA,2022,0.0
RE1,MINCOA,2023,0.0
RE1,MINCOA,2024,0.0
RE1,MINCOA,2025,0.0
RE1,MINCOA,2026,0.0
RE1,MINCOA,2027,0.0
RE1,MINCOA,2028,0.0
RE1,MINCOA,2029,0.0
RE1,MINCOA,2030,0.0
RE1,MINCOA,2031,0.0
RE1,MINCOA,2032,0.0
RE1,MINCOA,2033,0.0
RE1,MINCOA,2034,0.0
RE1,MINCOA,2035,0.0
RE1,MINCOA,2036,0.0
RE1,MINCOA,2037,0.0
RE1,MINCOA,2038,0.0
RE1,MINCOA,2039,0.0
RE1,MINCOA,2040,0.0
RE1,MINGAS,2020,0.003
RE1,MINGAS,2021,0.0001
RE1,MINGAS,2022,0.0001
RE1,MINGAS,2023,0.0001
RE1,MINGAS,2024,0.0001
RE1,MINGAS,2025,0.0001
RE1,MINGAS,2026,0.0001
RE1,MINGAS,2027,0.0001
RE1,MINGAS,2028,0.0001
RE1,MINGAS,2029,0.0001
RE1,MINGAS,2030,0.0001
RE1,MINGAS,2031,0.0001
RE1,MINGAS,2032,0.0001
RE1,MINGAS,2033,0.0001
RE1,MINGAS,2034,0.0001
RE1,MINGAS,2035,0.0001
RE1,MINGAS,2036,0.0001
RE1,MINGAS,2037,0.0001
RE1,MINGAS,2038,0.0001
RE1,MINGAS,2039,0.0002
RE1,MINGAS,2040,0.0002
RE1,MINHYD,2020,0.0
RE1,MINHYD,2021,0.0
RE1,MINHYD,2022,0.0
RE1,MINHYD,2023,0.0
RE1,MINHYD,2024,0.0
RE1,MINHYD,2025,0.0
RE1,MINHYD,2026,0.0
RE1,MINHYD,2027,0.0
RE1,MINHYD,2028,0.0
RE1,MINHYD,2029,0.0
RE1,MINHYD,2030,0.0
RE1,MINHYD,2031,0.0
RE1,MINHYD,2032,0.0
RE1,MINHYD,2033,0.0
RE1,MINHYD,2034,0.0
RE1,MINHYD,2035,0.0
RE1,MINHYD,2036,0.0
RE1,MINHYD,2037,0.0
RE1,MINHYD,2038,0.0
RE1,MINHYD,2039,0.0
RE1,MINHYD,2040,0.0
RE1,MINSOL,2020,0.0
RE1,MINSOL,2021,0.0
RE1,MINSOL,2022,0.0
RE1,MINSOL,2023,0.0
RE1,MINSOL,2024,0.0
RE1,MINSOL,2025,0.0
RE1,MINSOL,2026,0.0
RE1,MINSOL,2027,0.0
RE1,MINSOL,2028,0.0
RE1,MINSOL,2029,0.0
RE1,MINSOL,2030,0.0
RE1,MINSOL,2031,0.0
RE1,MINSOL,2032,0.0
RE1,MINSOL,2033,0.0
RE1,MINSOL,2034,0.0
RE1,MINSOL,2035,0.0
RE1,MINSOL,2036,0.0
RE1,MINSOL,2037,0.0
RE1,MINSOL,2038,0.0
RE1,MINSOL,2039,0.0
RE1,MINSOL,2040,0.0
RE1,MINWND,2020,0.0
RE1,MINWND,2021,0.0
RE1,MINWND,2022,0.0
RE1,MINWND,2023,0.0
RE1,MINWND,2024,0.0
RE1,MINWND,2025,0.0
RE1,MINWND,2026,0.0
RE1,MINWND,2027,0.0
RE1,MINWND,2028,0.0
RE1,MINWND,2029,0.0
RE1,MINWND,2030,0.0
RE1,MINWND,2031,0.0
RE1,MINWND,2032,0.0
RE1,MINWND,2033,0.0
RE1,MINWND,2034,0.0
RE1,MINWND,2035,0.0
RE1,MINWND,2036,0.0
RE1,MINWND,2037,0.0
RE1,MINWND,2038,0.0
RE1,MINWND,2039,0.0
RE1,MINWND,2040,0.0
RE1,PWRCOA,2020,0.0
RE1,PWRCOA,2021,0.0
RE1,PWRCOA,2022,0.0
RE1,PWRCOA,2023,0.0
RE1,PWRCOA,2024,0.0
RE1,PWRCOA,2025,0.0
RE1,PWRCOA,2026,0.0
RE1,PWRCOA,2027,0.0
RE1,PWRCOA,2028,0.0
RE1,PWRCOA,2029,0.0
RE1,PWRCOA,2030,0.0
RE1,PWRCOA,2031,0.0
RE1,PWRCOA,2032,0.0
RE1,PWRCOA,2033,0.0
RE1,PWRCOA,2034,0.0
RE1,PWRCOA,2035,0.0
RE1,PWRCOA,2036,0.0
RE1,PWRCOA,2037,0.0
RE1,PWRCOA,2038,0.0
RE1,PWRCOA,2039,0.0
RE1,PWRCOA,2040,0.0
RE1,PWRGAS,2020,18522.676
RE1,PWRGAS,2021,555.6803
RE1,PWRGAS,2022,572.3507
RE1,PWRGAS,2023,589.5212
RE1,PWRGAS,2024,607.2068
RE1,PWRGAS,2025,625.423
RE1,PWRGAS,2026,644.1858
RE1,PWRGAS,2027,663.5113
RE1,PWRGAS,2028,683.4167
RE1,PWRGAS,2029,703.9192
RE1,PWRGAS,2030,725.0367
RE1,PWRGAS,2031,746.7879
RE1,PWRGAS,2032,769.1915
RE1,PWRGAS,2033,792.2672
RE1,PWRGAS,2034,816.0352
RE1,PWRGAS,2035,840.5163
RE1,PWRGAS,2036,865.7318
RE1,PWRGAS,2037,891.7037
RE1,PWRGAS,2038,918.4548
RE1,PWRGAS,2039,946.0085
RE1,PWRGAS,2040,974.3888
RE1,PWRHYD,2020,0.0
RE1,PWRHYD,2021,0.0
RE1,PWRHYD,2022,0.0
RE1,PWRHYD,2023,0.0
RE1,PWRHYD,2024,0.0
RE1,PWRHYD,2025,0.0
RE1,PWRHYD,2026,0.0
RE1,PWRHYD,2027,0.0
RE1,PWRHYD,2028,0.0
RE1,PWRHYD,2029,0.0
RE1,PWRHYD,2030,0.0
RE1,PWRHYD,2031,0.0
RE1,PWRHYD,2032,0.0
RE1,PWRHYD,2033,0.0
RE1,PWRHYD,2034,0.0
RE1,PWRHYD,2035,0.0
RE1,PWRHYD,2036,0.0
RE1,PWRHYD,2037,0.0
RE1,PWRHYD,2038,0.0
RE1,PWRHYD,2039,0.0
RE1,PWRHYD,2040,0.0
RE1,PWRSOL,2020,0.0
RE1,PWRSOL,2021,0.0
RE1,PWRSOL,2022,0.0
RE1,PWRSOL,2023,0.0
RE1,PWRSOL,2024,0.0
RE1,PWRSOL,2025,0.0
RE1,PWRSOL,2026,0.0
RE1,PWRSOL,2027,0.0
RE1,PWRSOL,2028,0.0
RE1,PWRSOL,2029,0.0
RE1,PWRSOL,2030,0.0
RE1,PWRSOL,2031,0.0
RE1,PWRSOL,2032,0.0
RE1,PWRSOL,2033,0.0
RE1,PWRSOL,2034,0.0
RE1,PWRSOL,2035,0.0
RE1,PWRSOL,2036,0.0
RE1,PWRSOL,2037,0.0
RE1,PWRSOL,2038,0.0
RE1,PWRSOL,2039,0.0
RE1,PWRSOL,2040,0.0
RE1,PWRTRN,2020,20206.556
RE1,PWRTRN,2021,606.1967
RE1,PWRTRN,2022,624.3826
RE1,PWRTRN,2023,643.114
RE1,PWRTRN,2024,662.4075
RE1,PWRTRN,2025,682.2797
RE1,PWRTRN,2026,702.7481
RE1,PWRTRN,2027,723.8305
RE1,PWRTRN,2028,745.5454
RE1,PWRTRN,2029,767.9118
RE1,PWRTRN,2030,790.9492
RE1,PWRTRN,2031,814.6777
RE1,PWRTRN,2032,839.118
RE1,PWRTRN,2033,864.2915
RE1,PWRTRN,2034,890.2203
RE1,PWRTRN,2035,916.9269
RE1,PWRTRN,2036,944.4347
RE1,PWRTRN,2037,972.7677
RE1,PWRTRN,2038,1001.9507
RE1,PWRTRN,2039,1032.0093
RE1,PWRTRN,2040,1062.9696
RE1,PWRWND,2020,0.0
RE1,PWRWND,2021,0.0
RE1,PWRWND,2022,0.0
RE1,PWRWND,2023,0.0
RE1,PWRWND,2024,0.0
RE1,PWRWND,2025,0.0
RE1,PWRWND,2026,0.0
RE1,PWRWND,2027,0.0
RE1,PWRWND,2028,0.0
RE1,PWRWND,2029,0.0
RE1,PWRWND,2030,0.0
RE1,PWRWND,2031,0.0
RE1,PWRWND,2032,0.0
RE1,PWRWND,2033,0.0
RE1,PWRWND,2034,0.0
RE1,PWRWND,2035,0.0
RE1,PWRWND,2036,0.0
