r,t,y,TotalTechnologyAnnualActivity
RE1,MINCOA,2020,0.0
RE1,MINCOA,2021,0.0
RE1,MINCOA,2022,0.0
RE1,MINCOA,2023,0.0
RE1,MINCOA,2024,0.0
RE1,MINCOA,2025,0.0
RE1,MINCOA,2026,0.0
RE1,MINCOA,2027,0.0
RE1,MINCOA,2028,0.0
RE1,MINCOA,2029,0.0
RE1,MINCOA,2030,0.0
RE1,MINCOA,2031,0.0
RE1,MINCOA,2032,0.0
RE1,MINCOA,2033,0.0
RE1,MINCOA,2034,0.0
RE1,MINCOA,2035,0.0
RE1,MINCOA,2036,0.0
RE1,MINCOA,2037,0.0
RE1,MINCOA,2038,0.0
RE1,MINCOA,2039,0.0
RE1,MINCOA,2040,0.0
RE1,MINGAS,2020,220.0
RE1,MINGAS,2021,226.6
RE1,MINGAS,2022,233.398
RE1,MINGAS,2023,240.3999
RE1,MINGAS,2024,247.6119
RE1,MINGAS,2025,255.0403
RE1,MINGAS,2026,262.6915
RE1,MINGAS,2027,270.5722
RE1,MINGAS,2028,278.6894
RE1,MINGAS,2029,287.0501
RE1,MINGAS,2030,295.6616
RE1,MINGAS,2031,304.5314
RE1,MINGAS,2032,313.6674
RE1,MINGAS,2033,323.0774
RE1,MINGAS,2034,332.7697
RE1,MINGAS,2035,342.7528
RE1,MINGAS,2036,353.0354
RE1,MINGAS,2037,363.6265
RE1,MINGAS,2038,374.5353
RE1,MINGAS,2039,385.7713
RE1,MINGAS,2040,397.3445
RE1,MINHYD,2020,0.0
RE1,MINHYD,2021,0.0
RE1,MINHYD,2022,0.0
RE1,MINHYD,2023,0.0
RE1,MINHYD,2024,0.0
RE1,MINHYD,2025,0.0
RE1,MINHYD,2026,0.0
RE1,MINHYD,2027,0.0
RE1,MINHYD,2028,0.0
RE1,MINHYD,2029,0.0
RE1,MINHYD,2030,0.0
RE1,MINHYD,2031,0.0
RE1,MINHYD,2032,0.0
RE1,MINHYD,2033,0.0
RE1,MINHYD,2034,0.0
RE1,MINHYD,2035,0.0
RE1,MINHYD,2036,0.0
RE1,MINHYD,2037,0.0
RE1,MINHYD,2038,0.0
RE1,MINHYD,2039,0.0
RE1,MINHYD,2040,0.0
RE1,MINSOL,2020,0.0
RE1,MINSOL,2021,0.0
RE1,MINSOL,2022,0.0
RE1,MINSOL,2023,0.0
RE1,MINSOL,2024,0.0
RE1,MINSOL,2025,0.0
RE1,MINSOL,2026,0.0
RE1,MINSOL,2027,0.0
RE1,MINSOL,2028,0.0
RE1,MINSOL,2029,0.0
RE1,MINSOL,2030,0.0
RE1,MINSOL,2031,0.0
RE1,MINSOL,2032,0.0
RE1,MINSOL,2033,0.0
RE1,MINSOL,2034,0.0
RE1,MINSOL,2035,0.0
RE1,MINSOL,2036,0.0
RE1,MINSOL,2037,0.0
RE1,MINSOL,2038,0.0
RE1,MINSOL,2039,0.0
RE1,MINSOL,2040,0.0
RE1,MINWND,2020,0.0
RE1,MINWND,2021,0.0
RE1,MINWND,2022,0.0
RE1,MINWND,2023,0.0
RE1,MINWND,2024,0.0
RE1,MINWND,2025,0.0
RE1,MINWND,2026,0.0
RE1,MINWND,2027,0.0
RE1,MINWND,2028,0.0
RE1,MINWND,2029,0.0
RE1,MINWND,2030,0.0
RE1,MINWND,2031,0.0
RE1,MINWND,2032,0.0
RE1,MINWND,2033,0.0
RE1,MINWND,2034,0.0
RE1,MINWND,2035,0.0
RE1,MINWND,2036,0.0
RE1,MINWND,2037,0.0
RE1,MINWND,2038,0.0
RE1,MINWND,2039,0.0
RE1,MINWND,2040,0.0
RE1,PWRCOA,2020,0.0
RE1,PWRCOA,2021,0.0
RE1,PWRCOA,2022,0.0
RE1,PWRCOA,2023,0.0
RE1,PWRCOA,2024,0.0
RE1,PWRCOA,2025,0.0
RE1,PWRCOA,2026,0.0
RE1,PWRCOA,2027,0.0
RE1,PWRCOA,2028,0.0
RE1,PWRCOA,2029,0.0
RE1,PWRCOA,2030,0.0
RE1,PWRCOA,2031,0.0
RE1,PWRCOA,2032,0.0
RE1,PWRCOA,2033,0.0
RE1,PWRCOA,2034,0.0
RE1,PWRCOA,2035,0.0
RE1,PWRCOA,2036,0.0
RE1,PWRCOA,2037,0.0
RE1,PWRCOA,2038,0.0
RE1,PWRCOA,2039,0.0
RE1,PWRCOA,2040,0.0
RE1,PWRGAS,2020,110.0
RE1,PWRGAS,2021,113.3
RE1,PWRGAS,2022,116.699
RE1,PWRGAS,2023,120.2
RE1,PWRGAS,2024,123.806
RE1,PWRGAS,2025,127.5202
RE1,PWRGAS,2026,131.3458
RE1,PWRGAS,2027,135.2861
RE1,PWRGAS,2028,139.3447
RE1,PWRGAS,2029,143.525
RE1,PWRGAS,2030,147.8308
RE1,PWRGAS,2031,152.2657
RE1,PWRGAS,2032,156.8337
RE1,PWRGAS,2033,161.5387
RE1,PWRGAS,2034,166.3849
RE1,PWRGAS,2035,171.3764
RE1,PWRGAS,2036,176.5177
RE1,PWRGAS,2037,181.8132
RE1,PWRGAS,2038,187.2676
RE1,PWRGAS,2039,192.8857
RE1,PWRGAS,2040,198.6722
RE1,PWRHYD,2020,0.0
RE1,PWRHYD,2021,0.0
RE1,PWRHYD,2022,0.0
RE1,PWRHYD,2023,0.0
RE1,PWRHYD,2024,0.0
RE1,PWRHYD,2025,0.0
RE1,PWRHYD,2026,0.0
RE1,PWRHYD,2027,0.0
RE1,PWRHYD,2028,0.0
RE1,PWRHYD,2029,0.0
RE1,PWRHYD,2030,0.0
RE1,PWRHYD,2031,0.0
RE1,PWRHYD,2032,0.0
RE1,PWRHYD,2033,0.0
RE1,PWRHYD,2034,0.0
RE1,PWRHYD,2035,0.0
RE1,PWRHYD,2036,0.0
RE1,PWRHYD,2037,0.0
RE1,PWRHYD,2038,0.0
RE1,PWRHYD,2039,0.0
RE1,PWRHYD,2040,0.0
RE1,PWRSOL,2020,0.0
RE1,PWRSOL,2021,0.0
RE1,PWRSOL,2022,0.0
RE1,PWRSOL,2023,0.0
RE1,PWRSOL,2024,0.0
RE1,PWRSOL,2025,0.0
RE1,PWRSOL,2026,0.0
RE1,PWRSOL,2027,0.0
RE1,PWRSOL,2028,0.0
RE1,PWRSOL,2029,0.0
RE1,PWRSOL,2030,0.0
RE1,PWRSOL,2031,0.0
RE1,PWRSOL,2032,0.0
RE1,PWRSOL,2033,0.0
RE1,PWRSOL,2034,0.0
RE1,PWRSOL,2035,0.0
RE1,PWRSOL,2036,0.0
RE1,PWRSOL,2037,0.0
RE1,PWRSOL,2038,0.0
RE1,PWRSOL,2039,0.0
RE1,PWRSOL,2040,0.0
RE1,PWRTRN,2020,100.0
RE1,PWRTRN,2021,103.0
RE1,PWRTRN,2022,106.09
RE1,PWRTRN,2023,109.2727
RE1,PWRTRN,2024,112.5509
RE1,PWRTRN,2025,115.9274
RE1,PWRTRN,2026,119.4052
RE1,PWRTRN,2027,122.9874
RE1,PWRTRN,2028,126.677
RE1,PWRTRN,2029,130.4773
RE1,PWRTRN,2030,134.3916
RE1,PWRTRN,2031,138.4234
RE1,PWRTRN,2032,142.5761
RE1,PWRTRN,2033,146.8534
RE1,PWRTRN,2034,151.259
RE1,PWRTRN,2035,155.7967
RE1,PWRTRN,2036,160.4706
RE1,PWRTRN,2037,165.2848
RE1,PWRTRN,2038,170.2433
RE1,PWRTRN,2039,175.3506
RE1,PWRTRN,2040,180.6111
RE1,PWRWND,2020,0.0
RE1,PWRWND,2021,0.0
RE1,PWRWND,2022,0.0
RE1,PWRWND,2023,0.0
RE1,PWRWND,2024,0.0
RE1,PWRWND,2025,0.0
RE1,PWRWND,2026,0.0
RE1,PWRWND,2027,0.0
RE1,PWRWND,2028,0.0
RE1,PWRWND,2029,0.0
RE1,PWRWND,2030,0.0
RE1,PWRWND,2031,0.0
RE1,PWRWND,2032,0.0
RE1,PWRWND,2033,0.0
RE1,PWRWND,2034,0.0
RE1,PWRWND,2035,0.0
RE1,PWRWND,2036,0.0
