r,t,y,TotalCapacityAnnual
RE1,MINCOA,2020,324.3026
RE1,MINCOA,2021,333.6963
RE1,MINCOA,2022,378.432
RE1,MINCOA,2023,378.432
RE1,MINCOA,2024,378.432
RE1,MINCOA,2025,378.432
RE1,MINCOA,2026,378.432
RE1,MINCOA,2027,378.432
RE1,MINCOA,2028,378.432
RE1,MINCOA,2029,378.432
RE1,MINCOA,2030,378.432
RE1,MINCOA,2031,378.432
RE1,MINCOA,2032,378.432
RE1,MINCOA,2033,378.432
RE1,MINCOA,2034,378.432
RE1,MINCOA,2035,378.432
RE1,MINGAS,2020,108.1252
RE1,MINGAS,2021,108.1252
RE1,MINGAS,2022,157.7967
RE1,MINGAS,2023,177.7377
RE1,MINGAS,2024,194.0974
RE1,MINGAS,2025,209.2457
RE1,MINGAS,2026,225.0032
RE1,MINGAS,2027,236.6247
RE1,MINGAS,2028,236.6247
RE1,MINGAS,2029,243.2696
RE1,MINGAS,2030,315.36
RE1,MINGAS,2031,315.36
RE1,MINGAS,2032,315.36
RE1,MINGAS,2033,315.36
RE1,MINGAS,2034,315.36
RE1,MINGAS,2035,315.36
RE1,PWRGAS,2020,6.0
RE1,PWRGAS,2021,6.0
RE1,PWRGAS,2022,6.0
RE1,PWRGAS,2023,6.0
RE1,PWRGAS,2024,6.0
RE1,PWRGAS,2025,6.0
RE1,PWRGAS,2026,5.0
RE1,PWRGAS,2027,5.0
RE1,PWRGAS,2028,5.0
RE1,PWRGAS,2029,5.0
RE1,PWRGAS,2030,5.0
RE1,PWRGAS,2031,4.0
RE1,PWRGAS,2032,4.0
RE1,PWRGAS,2033,4.0
RE1,PWRGAS,2034,4.0
RE1,PWRGAS,2035,4.0
RE1,PWRCOA,2020,4.0
RE1,PWRCOA,2021,4.0
RE1,PWRCOA,2022,4.0
RE1,PWRCOA,2023,4.0
RE1,PWRCOA,2024,4.0
RE1,PWRCOA,2025,4.0
RE1,PWRCOA,2026,4.0
RE1,PWRCOA,2027,4.0
RE1,PWRCOA,2028,4.0
RE1,PWRCOA,2029,4.0
RE1,PWRCOA,2030,2.0
RE1,PWRCOA,2031,2.0
RE1,PWRCOA,2032,2.0
RE1,PWRCOA,2033,2.0
RE1,PWRCOA,2034,2.0
RE1,PWRCOA,2035,2.0
RE1,PWRTRN,2020,8.0
RE1,PWRTRN,2021,8.0
RE1,PWRTRN,2022,8.2237
RE1,PWRTRN,2023,8.9434
RE1,PWRTRN,2024,9.6619
RE1,PWRTRN,2025,10.4249
RE1,PWRTRN,2026,11.2754
RE1,PWRTRN,2027,12.1265
RE1,PWRTRN,2028,13.0222
RE1,PWRTRN,2029,14.0058
RE1,PWRTRN,2030,15.0336
RE1,PWRTRN,2031,16.1001
RE1,PWRTRN,2032,17.2552
RE1,PWRTRN,2033,18.4548
RE1,PWRTRN,2034,19.7424
RE1,PWRTRN,2035,21.0748
RE1,RSCLND,2020,300.0
RE1,RSCLND,2021,300.0
RE1,RSCLND,2022,300.0
RE1,RSCLND,2023,300.0
RE1,RSCLND,2024,300.0
RE1,RSCLND,2025,300.0
RE1,RSCLND,2026,300.0
RE1,RSCLND,2027,300.0
RE1,RSCLND,2028,300.0
RE1,RSCLND,2029,300.0
RE1,RSCLND,2030,300.0
RE1,RSCLND,2031,300.0
RE1,RSCLND,2032,300.0
RE1,RSCLND,2033,300.0
RE1,RSCLND,2034,300.0
RE1,RSCLND,2035,300.0
RE1,LNDMAIRNF,2020,4.1
RE1,LNDMAIRNF,2021,3.69
RE1,LNDMAIRNF,2022,3.28
RE1,LNDMAIRNF,2023,2.87
RE1,LNDMAIRNF,2024,2.46
RE1,LNDMAIRNF,2025,2.05
RE1,LNDMAIRNF,2026,1.64
