r_x,f,t,y,m,r_y,l,r,UseByTechnologyByMode
RE1,ELC002,DEMAGRGWTWAT,2022,1,RE1,S11,RE1,0.0603
RE1,ELC002,DEMAGRGWTWAT,2023,1,RE1,S11,RE1,0.127
RE1,ELC002,DEMAGRGWTWAT,2024,1,RE1,S11,RE1,0.1089
RE1,ELC002,DEMAGRGWTWAT,2025,1,RE1,S11,RE1,0.0907
RE1,ELC002,DEMAGRGWTWAT,2026,1,RE1,S11,RE1,0.0726
RE1,ELC002,DEMAGRGWTWAT,2027,1,RE1,S11,RE1,0.0544
RE1,ELC002,DEMAGRGWTWAT,2028,1,RE1,S11,RE1,0.0363
RE1,ELC002,DEMAGRGWTWAT,2029,1,RE1,S11,RE1,0.0181
RE1,WTRGWT,DEMAGRGWTWAT,2022,1,RE1,S11,RE1,0.0558
RE1,WTRGWT,DEMAGRGWTWAT,2023,1,RE1,S11,RE1,0.1176
RE1,WTRGWT,DEMAGRGWTWAT,2024,1,RE1,S11,RE1,0.1008
RE1,WTRGWT,DEMAGRGWTWAT,2025,1,RE1,S11,RE1,0.084
RE1,WTRGWT,DEMAGRGWTWAT,2026,1,RE1,S11,RE1,0.0672
RE1,WTRGWT,DEMAGRGWTWAT,2027,1,RE1,S11,RE1,0.0504
RE1,WTRGWT,DEMAGRGWTWAT,2028,1,RE1,S11,RE1,0.0336
RE1,WTRGWT,DEMAGRGWTWAT,2029,1,RE1,S11,RE1,0.0168
RE1,ELC002,DEMAGRSURWAT,2020,1,RE1,S11,RE1,0.1442
RE1,ELC002,DEMAGRSURWAT,2021,1,RE1,S11,RE1,0.2098
RE1,ELC002,DEMAGRSURWAT,2022,1,RE1,S11,RE1,0.2312
RE1,ELC002,DEMAGRSURWAT,2023,1,RE1,S11,RE1,0.2472
RE1,ELC002,DEMAGRSURWAT,2024,1,RE1,S11,RE1,0.3313
RE1,ELC002,DEMAGRSURWAT,2025,1,RE1,S11,RE1,0.4184
RE1,ELC002,DEMAGRSURWAT,2026,1,RE1,S11,RE1,0.5027
RE1,ELC002,DEMAGRSURWAT,2027,1,RE1,S11,RE1,0.5872
RE1,ELC002,DEMAGRSURWAT,2028,1,RE1,S11,RE1,0.6749
RE1,ELC002,DEMAGRSURWAT,2029,1,RE1,S11,RE1,0.7628
RE1,ELC002,DEMAGRSURWAT,2030,1,RE1,S11,RE1,0.8509
RE1,ELC002,DEMAGRSURWAT,2031,1,RE1,S11,RE1,0.8722
RE1,ELC002,DEMAGRSURWAT,2032,1,RE1,S11,RE1,0.8937
