r,t,y,AnnualFixedOperatingCost
"RE1","MINCOA",2020,0
"RE1","MINCOA",2021,0
"RE1","MINCOA",2022,0
"RE1","MINCOA",2023,0
"RE1","MINCOA",2024,0
"RE1","MINCOA",2025,0
"RE1","MINCOA",2026,0
"RE1","MINCOA",2027,0
"RE1","MINCOA",2028,0
"RE1","MINCOA",2029,0
"RE1","MINCOA",2030,0
"RE1","MINCOA",2031,0
"RE1","MINCOA",2032,0
"RE1","MINCOA",2033,0
"RE1","MINCOA",2034,0
"RE1","MINCOA",2035,0
"RE1","MINCOA",2036,0
"RE1","MINCOA",2037,0
"RE1","MINCOA",2038,0
"RE1","MINCOA",2039,0
"RE1","MINCOA",2040,0
"RE1","MINGAS",2020,0
"RE1","MINGAS",2021,0
"RE1","MINGAS",2022,0
"RE1","MINGAS",2023,0
"RE1","MINGAS",2024,0
"RE1","MINGAS",2025,0
"RE1","MINGAS",2026,0
"RE1","MINGAS",2027,0
"RE1","MINGAS",2028,0
"RE1","MINGAS",2029,0
"RE1","MINGAS",2030,0
"RE1","MINGAS",2031,0
"RE1","MINGAS",2032,0
"RE1","MINGAS",2033,0
"RE1","MINGAS",2034,0
"RE1","MINGAS",2035,0
"RE1","MINGAS",2036,0
"RE1","MINGAS",2037,0
"RE1","MINGAS",2038,0
"RE1","MINGAS",2039,0
"RE1","MINGAS",2040,0
"RE1","PWRCOA",2020,0
"RE1","PWRCOA",2021,0
"RE1","PWRCOA",2022,0
"RE1","PWRCOA",2023,0
"RE1","PWRCOA",2024,0
"RE1","PWRCOA",2025,0
"RE1","PWRCOA",2026,0
"RE1","PWRCOA",2027,0
"RE1","PWRCOA",2028,0
"RE1","PWRCOA",2029,0
"RE1","PWRCOA",2030,0
"RE1","PWRCOA",2031,0
"RE1","PWRCOA",2032,0
"RE1","PWRCOA",2033,0
"RE1","PWRCOA",2034,0
"RE1","PWRCOA",2035,0
"RE1","PWRCOA",2036,0
"RE1","PWRCOA",2037,0
"RE1","PWRCOA",2038,0
"RE1","PWRCOA",2039,0
"RE1","PWRCOA",2040,0
"RE1","PWRGAS",2020,161.746055429147
"RE1","PWRGAS",2021,166.598437092021
"RE1","PWRGAS",2022,171.596390204782
"RE1","PWRGAS",2023,176.744281910925
"RE1","PWRGAS",2024,182.046610368253
"RE1","PWRGAS",2025,187.508008630777
"RE1","PWRGAS",2026,193.133249015862
"RE1","PWRGAS",2027,198.927246339149
"RE1","PWRGAS",2028,204.895063737411
"RE1","PWRGAS",2029,211.041915741729
"RE1","PWRGAS",2030,217.373173129872
"RE1","PWRGAS",2031,223.894368425669
"RE1","PWRGAS",2032,230.611199457412
"RE1","PWRGAS",2033,237.529535342469
"RE1","PWRGAS",2034,244.655421501408
"RE1","PWRGAS",2035,251.995084186887
"RE1","PWRGAS",2036,259.554936630003
"RE1","PWRGAS",2037,267.341584701406
"RE1","PWRGAS",2038,275.361832248918
"RE1","PWRGAS",2039,283.622687243883
"RE1","PWRGAS",2040,292.131367927515
"RE1","PWRTRN",2020,0
"RE1","PWRTRN",2021,0
"RE1","PWRTRN",2022,0
"RE1","PWRTRN",2023,0
"RE1","PWRTRN",2024,0
"RE1","PWRTRN",2025,0
"RE1","PWRTRN",2026,0
"RE1","PWRTRN",2027,0
"RE1","PWRTRN",2028,0
"RE1","PWRTRN",2029,0
"RE1","PWRTRN",2030,0
"RE1","PWRTRN",2031,0
"RE1","PWRTRN",2032,0
"RE1","PWRTRN",2033,0
"RE1","PWRTRN",2034,0
"RE1","PWRTRN",2035,0
"RE1","PWRTRN",2036,0
"RE1","PWRTRN",2037,0
