r,t,y,AccumulatedNewCapacity
RE1,MINCOA,2020,378.432
RE1,MINCOA,2021,378.432
RE1,MINCOA,2022,378.432
RE1,MINCOA,2023,378.432
RE1,MINCOA,2024,378.432
RE1,MINCOA,2025,378.432
RE1,MINCOA,2026,378.432
RE1,MINCOA,2027,378.432
RE1,MINCOA,2028,378.432
RE1,MINCOA,2029,378.432
RE1,MINCOA,2030,378.432
RE1,MINCOA,2031,378.432
RE1,MINCOA,2032,378.432
RE1,MINCOA,2033,378.432
RE1,MINCOA,2034,378.432
RE1,MINCOA,2035,378.432
RE1,MINGAS,2020,116.1203
RE1,MINGAS,2021,186.1757
RE1,MINGAS,2022,265.3665
RE1,MINGAS,2023,317.0953
RE1,MINGAS,2024,364.4827
RE1,MINGAS,2025,378.432
RE1,MINGAS,2026,378.432
RE1,MINGAS,2027,408.316
RE1,MINGAS,2028,465.5812
RE1,MINGAS,2029,529.6938
RE1,MINGAS,2030,721.0141
RE1,MINGAS,2031,788.4321
RE1,MINGAS,2032,861.4228
RE1,MINGAS,2033,936.4309
RE1,MINGAS,2034,1018.4614
RE1,MINGAS,2035,1102.3783
RE1,PWRGAS,2026,0.5908
RE1,PWRGAS,2027,1.4738
RE1,PWRGAS,2028,2.3817
RE1,PWRGAS,2029,3.3982
RE1,PWRGAS,2030,6.4316
RE1,PWRGAS,2031,8.5005
RE1,PWRGAS,2032,9.6578
RE1,PWRGAS,2033,10.847
RE1,PWRGAS,2034,12.1476
RE1,PWRGAS,2035,13.4781
RE1,PWRTRN,2022,0.2284
RE1,PWRTRN,2023,0.9507
RE1,PWRTRN,2024,1.672
RE1,PWRTRN,2025,2.44
RE1,PWRTRN,2026,3.2948
RE1,PWRTRN,2027,4.1502
RE1,PWRTRN,2028,5.0531
RE1,PWRTRN,2029,6.0423
RE1,PWRTRN,2030,7.0761
RE1,PWRTRN,2031,8.1451
RE1,PWRTRN,2032,9.3022
RE1,PWRTRN,2033,10.5038
RE1,PWRTRN,2034,11.7965
RE1,PWRTRN,2035,13.131
RE1,RSCLND,2020,300.0
RE1,RSCLND,2021,300.0
RE1,RSCLND,2022,300.0
RE1,RSCLND,2023,300.0
RE1,RSCLND,2024,300.0
RE1,RSCLND,2025,300.0
RE1,RSCLND,2026,300.0
RE1,RSCLND,2027,300.0
RE1,RSCLND,2028,300.0
RE1,RSCLND,2029,300.0
RE1,RSCLND,2030,300.0
RE1,RSCLND,2031,300.0
RE1,RSCLND,2032,300.0
RE1,RSCLND,2033,300.0
RE1,RSCLND,2034,300.0
RE1,RSCLND,2035,300.0
RE1,LNDMAIIRR,2020,0.0008
RE1,LNDMAIIRR,2021,0.4329
RE1,LNDMAIIRR,2022,0.8672
RE1,LNDMAIIRR,2023,1.2993
RE1,LNDMAIIRR,2024,1.7336
RE1,LNDMAIIRR,2025,2.1917
RE1,LNDMAIIRR,2026,2.6249
RE1,LNDMAIIRR,2027,3.0614
RE1,LNDMAIIRR,2028,3.5217
RE1,LNDMAIIRR,2029,3.982
RE1,LNDMAIIRR,2030,4.4445
RE1,LNDMAIIRR,2031,4.5681
RE1,LNDMAIIRR,2032,4.6918
RE1,LNDMAIIRR,2033,4.8155
RE1,LNDMAIIRR,2034,4.9391
RE1,LNDMAIIRR,2035,5.065
RE1,LNDRICIRR,2020,0.019
RE1,LNDRICIRR,2021,0.1746
RE1,LNDRICIRR,2022,0.3473
RE1,LNDRICIRR,2023,0.5149
RE1,LNDRICIRR,2024,0.681
RE1,LNDRICIRR,2025,0.8436
RE1,LNDRICIRR,2026,1.0045
RE1,LNDRICIRR,2027,1.1612
RE1,LNDRICIRR,2028,1.3157
RE1,LNDRICIRR,2029,1.4683
RE1,LNDRICIRR,2030,1.6175
RE1,LNDRICIRR,2031,1.6498
RE1,LNDRICIRR,2032,1.6829
RE1,LNDRICIRR,2033,1.7171
RE1,LNDRICIRR,2034,1.7512
RE1,LNDRICIRR,2035,1.7862
RE1,LNDFOR,2021,25.2175
RE1,LNDFOR,2022,50.4505
RE1,LNDFOR,2023,75.6898
RE1,LNDFOR,2024,100.9284
RE1,LNDFOR,2025,126.1477
RE1,LNDFOR,2026,151.4926
RE1,LNDFOR,2027,175.7293
RE1,LNDFOR,2028,201.9626
RE1,LNDFOR,2029,226.1552
RE1,LNDFOR,2030,251.7042
RE1,LNDFOR,2031,251.7042
