r,t,y,TotalTechnologyAnnualActivity
RE1,MINCOA,2020,321.6672
RE1,MINCOA,2021,321.6672
RE1,MINCOA,2022,321.6672
RE1,MINCOA,2023,321.6672
RE1,MINCOA,2024,321.6672
RE1,MINCOA,2025,321.6672
RE1,MINCOA,2026,321.6672
RE1,MINCOA,2027,321.6672
RE1,MINCOA,2028,321.6672
RE1,MINCOA,2029,321.6672
RE1,MINCOA,2030,160.8336
RE1,MINCOA,2031,160.8336
RE1,MINCOA,2032,160.8336
RE1,MINCOA,2033,160.8336
RE1,MINCOA,2034,160.8336
RE1,MINCOA,2035,160.8336
RE1,MINGAS,2020,39.5813
RE1,MINGAS,2021,67.4646
RE1,MINGAS,2022,102.9948
RE1,MINGAS,2023,139.5296
RE1,MINGAS,2024,176.8007
RE1,MINGAS,2025,215.5494
RE1,MINGAS,2026,258.5654
RE1,MINGAS,2027,302.5155
RE1,MINGAS,2028,348.0914
RE1,MINGAS,2029,398.7689
RE1,MINGAS,2030,557.8552
RE1,MINGAS,2031,612.0639
RE1,MINGAS,2032,670.7586
RE1,MINGAS,2033,731.8242
RE1,MINGAS,2034,797.325
RE1,MINGAS,2035,865.0337
RE1,PWRGAS,2020,19.7906
RE1,PWRGAS,2021,33.7323
RE1,PWRGAS,2022,51.4974
RE1,PWRGAS,2023,69.7648
RE1,PWRGAS,2024,88.4004
RE1,PWRGAS,2025,107.7747
RE1,PWRGAS,2026,129.2827
RE1,PWRGAS,2027,151.2577
RE1,PWRGAS,2028,174.0457
RE1,PWRGAS,2029,199.3845
RE1,PWRGAS,2030,278.9276
RE1,PWRGAS,2031,306.032
RE1,PWRGAS,2032,335.3793
RE1,PWRGAS,2033,365.9121
RE1,PWRGAS,2034,398.6625
RE1,PWRGAS,2035,432.5169
RE1,PWRCOA,2020,107.2224
RE1,PWRCOA,2021,107.2224
RE1,PWRCOA,2022,107.2224
RE1,PWRCOA,2023,107.2224
RE1,PWRCOA,2024,107.2224
RE1,PWRCOA,2025,107.2224
RE1,PWRCOA,2026,107.2224
RE1,PWRCOA,2027,107.2224
RE1,PWRCOA,2028,107.2224
RE1,PWRCOA,2029,107.2224
RE1,PWRCOA,2030,53.6112
RE1,PWRCOA,2031,53.6112
RE1,PWRCOA,2032,53.6112
RE1,PWRCOA,2033,53.6112
RE1,PWRCOA,2034,53.6112
RE1,PWRCOA,2035,53.6112
RE1,PWRTRN,2020,177.395
RE1,PWRTRN,2021,191.2764
RE1,PWRTRN,2022,208.5715
RE1,PWRTRN,2023,226.7766
RE1,PWRTRN,2024,244.9361
RE1,PWRTRN,2025,264.2506
RE1,PWRTRN,2026,285.7709
RE1,PWRTRN,2027,307.3024
RE1,PWRTRN,2028,329.9964
RE1,PWRTRN,2029,354.8932
RE1,PWRTRN,2030,380.9107
RE1,PWRTRN,2031,408.0111
RE1,PWRTRN,2032,437.3497
RE1,PWRTRN,2033,467.8195
RE1,PWRTRN,2034,500.5663
RE1,PWRTRN,2035,534.4123
RE1,RSCLND,2020,300.0
RE1,RSCLND,2021,300.0
RE1,RSCLND,2022,300.0
RE1,RSCLND,2023,300.0
RE1,RSCLND,2024,300.0
RE1,RSCLND,2025,300.0
RE1,RSCLND,2026,300.0
RE1,RSCLND,2027,299.9
RE1,RSCLND,2028,300.0
