r_x,f,t,y,m,r_y,l,r,UseByTechnologyByMode
RE1,ELC002,DEMAGRGWTWAT,2022,1,RE1,S11,RE1,0.0966
RE1,ELC002,DEMAGRGWTWAT,2023,1,RE1,S11,RE1,0.127
RE1,ELC002,DEMAGRGWTWAT,2024,1,RE1,S11,RE1,0.1089
RE1,ELC002,DEMAGRGWTWAT,2025,1,RE1,S11,RE1,0.0907
RE1,ELC002,DEMAGRGWTWAT,2026,1,RE1,S11,RE1,0.0726
RE1,ELC002,DEMAGRGWTWAT,2027,1,RE1,S11,RE1,0.0544
RE1,ELC002,DEMAGRGWTWAT,2028,1,RE1,S11,RE1,0.0363
RE1,ELC002,DEMAGRGWTWAT,2029,1,RE1,S11,RE1,0.0181
RE1,WTRGWT,DEMAGRGWTWAT,2022,1,RE1,S11,RE1,0.0894
RE1,WTRGWT,DEMAGRGWTWAT,2023,1,RE1,S11,RE1,0.1176
RE1,WTRGWT,DEMAGRGWTWAT,2024,1,RE1,S11,RE1,0.1008
RE1,WTRGWT,DEMAGRGWTWAT,2025,1,RE1,S11,RE1,0.084
RE1,WTRGWT,DEMAGRGWTWAT,2026,1,RE1,S11,RE1,0.0672
RE1,WTRGWT,DEMAGRGWTWAT,2027,1,RE1,S11,RE1,0.0504
RE1,WTRGWT,DEMAGRGWTWAT,2028,1,RE1,S11,RE1,0.0336
RE1,WTRGWT,DEMAGRGWTWAT,2029,1,RE1,S11,RE1,0.0168
RE1,ELC002,DEMAGRSURWAT,2020,1,RE1,S11,RE1,0.1442
RE1,ELC002,DEMAGRSURWAT,2021,1,RE1,S11,RE1,0.2241
RE1,ELC002,DEMAGRSURWAT,2022,1,RE1,S11,RE1,0.2312
RE1,ELC002,DEMAGRSURWAT,2023,1,RE1,S11,RE1,0.3039
RE1,ELC002,DEMAGRSURWAT,2024,1,RE1,S11,RE1,0.4116
RE1,ELC002,DEMAGRSURWAT,2025,1,RE1,S11,RE1,0.5408
RE1,ELC002,DEMAGRSURWAT,2026,1,RE1,S11,RE1,0.6579
RE1,ELC002,DEMAGRSURWAT,2027,1,RE1,S11,RE1,0.7787
RE1,ELC002,DEMAGRSURWAT,2028,1,RE1,S11,RE1,0.928
RE1,ELC002,DEMAGRSURWAT,2029,1,RE1,S11,RE1,1.0626
RE1,ELC002,DEMAGRSURWAT,2030,1,RE1,S11,RE1,1.2012
RE1,ELC002,DEMAGRSURWAT,2031,1,RE1,S11,RE1,1.2315
RE1,ELC002,DEMAGRSURWAT,2032,1,RE1,S11,RE1,1.2621
RE1,ELC002,DEMAGRSURWAT,2033,1,RE1,S11,RE1,1.2928
RE1,ELC002,DEMAGRSURWAT,2034,1,RE1,S11,RE1,1.3512
RE1,ELC002,DEMAGRSURWAT,2035,1,RE1,S11,RE1,1.3833
RE1,WTRSUR,DEMAGRSURWAT,2020,1,RE1,S11,RE1,0.1677
RE1,WTRSUR,DEMAGRSURWAT,2021,1,RE1,S11,RE1,0.2606
RE1,WTRSUR,DEMAGRSURWAT,2022,1,RE1,S11,RE1,0.2688
RE1,WTRSUR,DEMAGRSURWAT,2023,1,RE1,S11,RE1,0.3533
