t,f,m,y,l,r,RateOfUseByTechnologyByMode
DEMPWRSURWAT,ELC002,1,2031,S11,RE1,0.2315
DEMPWRSURWAT,ELC002,1,2032,S11,RE1,0.2544
DEMPWRSURWAT,ELC002,1,2033,S11,RE1,0.2744
DEMPWRSURWAT,ELC002,1,2034,S11,RE1,0.2955
DEMPWRSURWAT,ELC002,1,2035,S11,RE1,0.3175
DEMPWRSURWAT,WTRSUR,1,2020,S11,RE1,0.0315
DEMPWRSURWAT,WTRSUR,1,2021,S11,RE1,0.0353
DEMPWRSURWAT,WTRSUR,1,2022,S11,RE1,0.04
DEMPWRSURWAT,WTRSUR,1,2023,S11,RE1,0.0444
DEMPWRSURWAT,WTRSUR,1,2024,S11,RE1,0.0487
DEMPWRSURWAT,WTRSUR,1,2025,S11,RE1,0.0523
DEMPWRSURWAT,WTRSUR,1,2026,S11,RE1,0.0568
DEMPWRSURWAT,WTRSUR,1,2027,S11,RE1,0.062
DEMPWRSURWAT,WTRSUR,1,2028,S11,RE1,0.0657
DEMPWRSURWAT,WTRSUR,1,2029,S11,RE1,0.0733
DEMPWRSURWAT,WTRSUR,1,2030,S11,RE1,0.0758
DEMPWRSURWAT,WTRSUR,1,2031,S11,RE1,0.0821
DEMPWRSURWAT,WTRSUR,1,2032,S11,RE1,0.0902
DEMPWRSURWAT,WTRSUR,1,2033,S11,RE1,0.0973
DEMPWRSURWAT,WTRSUR,1,2034,S11,RE1,0.1048
DEMPWRSURWAT,WTRSUR,1,2035,S11,RE1,0.1126
DEMTRABIO,CRPMAI,1,2020,S11,RE1,1.1848
DEMTRABIO,CRPMAI,1,2021,S11,RE1,1.2204
DEMTRABIO,CRPMAI,1,2022,S11,RE1,1.2559
DEMTRABIO,CRPMAI,1,2023,S11,RE1,1.2915
DEMTRABIO,CRPMAI,1,2024,S11,RE1,1.327
DEMTRABIO,CRPMAI,1,2025,S11,RE1,1.3744
DEMTRABIO,CRPMAI,1,2026,S11,RE1,1.41
DEMTRABIO,CRPMAI,1,2027,S11,RE1,1.4455
DEMTRABIO,CRPMAI,1,2028,S11,RE1,1.4929
DEMTRABIO,CRPMAI,1,2029,S11,RE1,1.5403
DEMTRABIO,CRPMAI,1,2030,S11,RE1,1.5877
DEMTRABIO,CRPMAI,1,2031,S11,RE1,1.6351
DEMTRABIO,CRPMAI,1,2032,S11,RE1,1.6825
DEMTRABIO,CRPMAI,1,2033,S11,RE1,1.7299
DEMTRABIO,CRPMAI,1,2034,S11,RE1,1.7773
DEMTRABIO,CRPMAI,1,2035,S11,RE1,1.8246
LNDBLT,LND,1,2020,S11,RE1,15.0
LNDBLT,LND,1,2021,S11,RE1,15.2
LNDBLT,LND,1,2022,S11,RE1,15.3
LNDBLT,LND,1,2023,S11,RE1,15.5
LNDBLT,LND,1,2024,S11,RE1,15.6
LNDBLT,LND,1,2025,S11,RE1,15.8
LNDBLT,LND,1,2026,S11,RE1,15.9
LNDBLT,LND,1,2027,S11,RE1,16.1
LNDBLT,LND,1,2028,S11,RE1,16.2
LNDBLT,LND,1,2029,S11,RE1,16.4
LNDBLT,LND,1,2030,S11,RE1,16.6
LNDBLT,LND,1,2031,S11,RE1,16.7
LNDBLT,LND,1,2032,S11,RE1,16.9
LNDBLT,LND,1,2033,S11,RE1,17.1
LNDBLT,LND,1,2034,S11,RE1,17.2
LNDBLT,LND,1,2035,S11,RE1,17.4
LNDBLT,WTRPRC,1,2020,S11,RE1,18.0
LNDBLT,WTRPRC,1,2021,S11,RE1,17.936
LNDBLT,WTRPRC,1,2022,S11,RE1,17.901
LNDBLT,WTRPRC,1,2023,S11,RE1,17.825
LNDBLT,WTRPRC,1,2024,S11,RE1,17.784
LNDBLT,WTRPRC,1,2025,S11,RE1,17.696
LNDBLT,WTRPRC,1,2026,S11,RE1,17.649
LNDBLT,WTRPRC,1,2027,S11,RE1,17.71
LNDBLT,WTRPRC,1,2028,S11,RE1,17.496
LNDBLT,WTRPRC,1,2029,S11,RE1,17.548
LNDBLT,WTRPRC,1,2030,S11,RE1,17.596
LNDBLT,WTRPRC,1,2031,S11,RE1,17.702
LNDBLT,WTRPRC,1,2032,S11,RE1,17.914
LNDBLT,WTRPRC,1,2033,S11,RE1,18.126
LNDBLT,WTRPRC,1,2034,S11,RE1,18.06
LNDBLT,WTRPRC,1,2035,S11,RE1,18.27
LNDFOR,LND,1,2020,S11,RE1,253.6
LNDFOR,LND,1,2021,S11,RE1,253.4175
LNDFOR,LND,1,2022,S11,RE1,253.3505
LNDFOR,LND,1,2023,S11,RE1,253.1898
LNDFOR,LND,1,2024,S11,RE1,253.1284
LNDFOR,LND,1,2025,S11,RE1,252.9477
LNDFOR,LND,1,2026,S11,RE1,252.8926
LNDFOR,LND,1,2027,S11,RE1,251.8293
LNDFOR,LND,1,2028,S11,RE1,252.6626
LNDFOR,LND,1,2029,S11,RE1,251.5552
LNDFOR,LND,1,2030,S11,RE1,251.7042
LNDFOR,LND,1,2031,S11,RE1,251.7042
LNDFOR,LND,1,2032,S11,RE1,251.7042
LNDFOR,LND,1,2033,S11,RE1,251.7042
LNDFOR,LND,1,2034,S11,RE1,251.7042
LNDFOR,LND,1,2035,S11,RE1,251.7042
LNDFOR,WTRPRC,1,2020,S11,RE1,304.32
LNDFOR,WTRPRC,1,2021,S11,RE1,299.0326
LNDFOR,WTRPRC,1,2022,S11,RE1,296.4201
LNDFOR,WTRPRC,1,2023,S11,RE1,291.1683
LNDFOR,WTRPRC,1,2024,S11,RE1,288.5664
LNDFOR,WTRPRC,1,2025,S11,RE1,283.3014
LNDFOR,WTRPRC,1,2026,S11,RE1,280.7108
LNDFOR,WTRPRC,1,2027,S11,RE1,277.0122
LNDFOR,WTRPRC,1,2028,S11,RE1,272.8756
LNDFOR,WTRPRC,1,2029,S11,RE1,269.1641
LNDFOR,WTRPRC,1,2030,S11,RE1,266.8065
LNDFOR,WTRPRC,1,2031,S11,RE1,266.8065
LNDFOR,WTRPRC,1,2032,S11,RE1,266.8065
LNDFOR,WTRPRC,1,2033,S11,RE1,266.8065
LNDFOR,WTRPRC,1,2034,S11,RE1,264.2894
LNDFOR,WTRPRC,1,2035,S11,RE1,264.2894
LNDMAIIRR,AGRDSL,1,2020,S11,RE1,0.1665
LNDMAIIRR,AGRDSL,1,2021,S11,RE1,0.3616
LNDMAIIRR,AGRDSL,1,2022,S11,RE1,0.5577
LNDMAIIRR,AGRDSL,1,2023,S11,RE1,0.7528
LNDMAIIRR,AGRDSL,1,2024,S11,RE1,0.9489
LNDMAIIRR,AGRDSL,1,2025,S11,RE1,1.1567
LNDMAIIRR,AGRDSL,1,2026,S11,RE1,1.3528
LNDMAIIRR,AGRDSL,1,2027,S11,RE1,1.5501
LNDMAIIRR,AGRDSL,1,2028,S11,RE1,1.759
LNDMAIIRR,AGRDSL,1,2029,S11,RE1,1.9678
LNDMAIIRR,AGRDSL,1,2030,S11,RE1,2.1778
LNDMAIIRR,AGRDSL,1,2031,S11,RE1,2.2384
LNDMAIIRR,AGRDSL,1,2032,S11,RE1,2.299
LNDMAIIRR,AGRDSL,1,2033,S11,RE1,2.3596
LNDMAIIRR,AGRDSL,1,2034,S11,RE1,2.4202
LNDMAIIRR,AGRDSL,1,2035,S11,RE1,2.4818
LNDMAIIRR,AGRWAT,1,2020,S11,RE1,0.1019
LNDMAIIRR,AGRWAT,1,2021,S11,RE1,0.2361
LNDMAIIRR,AGRWAT,1,2022,S11,RE1,0.3756
LNDMAIIRR,AGRWAT,1,2023,S11,RE1,0.5377
LNDMAIIRR,AGRWAT,1,2024,S11,RE1,0.6972
LNDMAIIRR,AGRWAT,1,2025,S11,RE1,0.8971
LNDMAIIRR,AGRWAT,1,2026,S11,RE1,1.0768
LNDMAIIRR,AGRWAT,1,2027,S11,RE1,1.2654
LNDMAIIRR,AGRWAT,1,2028,S11,RE1,1.5077
LNDMAIIRR,AGRWAT,1,2029,S11,RE1,1.7269
LNDMAIIRR,AGRWAT,1,2030,S11,RE1,1.9556
LNDMAIIRR,AGRWAT,1,2031,S11,RE1,2.01
LNDMAIIRR,AGRWAT,1,2032,S11,RE1,2.0644
LNDMAIIRR,AGRWAT,1,2033,S11,RE1,2.1188
LNDMAIIRR,AGRWAT,1,2034,S11,RE1,2.2226
LNDMAIIRR,AGRWAT,1,2035,S11,RE1,2.2793
LNDMAIIRR,LND,1,2020,S11,RE1,0.3398
LNDMAIIRR,LND,1,2021,S11,RE1,0.7379
LNDMAIIRR,LND,1,2022,S11,RE1,1.1382
LNDMAIIRR,LND,1,2023,S11,RE1,1.5363
LNDMAIIRR,LND,1,2024,S11,RE1,1.9366
LNDMAIIRR,LND,1,2025,S11,RE1,2.3607
LNDMAIIRR,LND,1,2026,S11,RE1,2.7609
LNDMAIIRR,LND,1,2027,S11,RE1,3.1634
LNDMAIIRR,LND,1,2028,S11,RE1,3.5897
LNDMAIIRR,LND,1,2029,S11,RE1,4.016
LNDMAIIRR,LND,1,2030,S11,RE1,4.4445
LNDMAIIRR,LND,1,2031,S11,RE1,4.5681
LNDMAIIRR,LND,1,2032,S11,RE1,4.6918
LNDMAIIRR,LND,1,2033,S11,RE1,4.8155
LNDMAIIRR,LND,1,2034,S11,RE1,4.9391
LNDMAIIRR,LND,1,2035,S11,RE1,5.065
LNDMAIIRR,WTRPRC,1,2020,S11,RE1,0.4078
LNDMAIIRR,WTRPRC,1,2021,S11,RE1,0.8707
LNDMAIIRR,WTRPRC,1,2022,S11,RE1,1.3317
LNDMAIIRR,WTRPRC,1,2023,S11,RE1,1.7667
LNDMAIIRR,WTRPRC,1,2024,S11,RE1,2.2077
LNDMAIIRR,WTRPRC,1,2025,S11,RE1,2.644
LNDMAIIRR,WTRPRC,1,2026,S11,RE1,3.0646
LNDMAIIRR,WTRPRC,1,2027,S11,RE1,3.4797
LNDMAIIRR,WTRPRC,1,2028,S11,RE1,3.8769
LNDMAIIRR,WTRPRC,1,2029,S11,RE1,4.2971
LNDMAIIRR,WTRPRC,1,2030,S11,RE1,4.7112
LNDMAIIRR,WTRPRC,1,2031,S11,RE1,4.8422
LNDMAIIRR,WTRPRC,1,2032,S11,RE1,4.9733
LNDMAIIRR,WTRPRC,1,2033,S11,RE1,5.1044
LNDMAIIRR,WTRPRC,1,2034,S11,RE1,5.1861
LNDMAIIRR,WTRPRC,1,2035,S11,RE1,5.3183
LNDMAIRNF,AGRDSL,1,2020,S11,RE1,1.2054
LNDMAIRNF,AGRDSL,1,2021,S11,RE1,1.0849
LNDMAIRNF,AGRDSL,1,2022,S11,RE1,0.9643
LNDMAIRNF,AGRDSL,1,2023,S11,RE1,0.8438
LNDMAIRNF,AGRDSL,1,2024,S11,RE1,0.7232
LNDMAIRNF,AGRDSL,1,2025,S11,RE1,0.6027
LNDMAIRNF,AGRDSL,1,2026,S11,RE1,0.4822
LNDMAIRNF,AGRDSL,1,2027,S11,RE1,0.3616
LNDMAIRNF,AGRDSL,1,2028,S11,RE1,0.2411
LNDMAIRNF,AGRDSL,1,2029,S11,RE1,0.1205
LNDMAIRNF,AGRDSL,1,2030,S11,RE1,0.0
LNDMAIRNF,AGRDSL,1,2031,S11,RE1,0.0
LNDMAIRNF,AGRDSL,1,2032,S11,RE1,0.0
LNDMAIRNF,AGRDSL,1,2033,S11,RE1,0.0
LNDMAIRNF,AGRDSL,1,2034,S11,RE1,0.0
LNDMAIRNF,AGRDSL,1,2035,S11,RE1,0.0
LNDMAIRNF,LND,1,2020,S11,RE1,4.1
LNDMAIRNF,LND,1,2021,S11,RE1,3.69
LNDMAIRNF,LND,1,2022,S11,RE1,3.28
LNDMAIRNF,LND,1,2023,S11,RE1,2.87
LNDMAIRNF,LND,1,2024,S11,RE1,2.46
LNDMAIRNF,LND,1,2025,S11,RE1,2.05
LNDMAIRNF,LND,1,2026,S11,RE1,1.64
LNDMAIRNF,LND,1,2027,S11,RE1,1.23
LNDMAIRNF,LND,1,2028,S11,RE1,0.82
LNDMAIRNF,LND,1,2029,S11,RE1,0.41
LNDMAIRNF,LND,1,2030,S11,RE1,0.0
LNDMAIRNF,LND,1,2031,S11,RE1,0.0
LNDMAIRNF,LND,1,2032,S11,RE1,0.0
LNDMAIRNF,LND,1,2033,S11,RE1,0.0
LNDMAIRNF,LND,1,2034,S11,RE1,0.0
LNDMAIRNF,LND,1,2035,S11,RE1,0.0
LNDMAIRNF,WTRPRC,1,2020,S11,RE1,4.92
LNDMAIRNF,WTRPRC,1,2021,S11,RE1,4.3542
LNDMAIRNF,WTRPRC,1,2022,S11,RE1,3.8376
LNDMAIRNF,WTRPRC,1,2023,S11,RE1,3.3005
LNDMAIRNF,WTRPRC,1,2024,S11,RE1,2.8044
LNDMAIRNF,WTRPRC,1,2025,S11,RE1,2.296
LNDMAIRNF,WTRPRC,1,2026,S11,RE1,1.8204
LNDMAIRNF,WTRPRC,1,2027,S11,RE1,1.353
LNDMAIRNF,WTRPRC,1,2028,S11,RE1,0.8856
LNDMAIRNF,WTRPRC,1,2029,S11,RE1,0.4387
LNDMAIRNF,WTRPRC,1,2030,S11,RE1,0.0
LNDMAIRNF,WTRPRC,1,2031,S11,RE1,0.0
LNDMAIRNF,WTRPRC,1,2032,S11,RE1,0.0
LNDMAIRNF,WTRPRC,1,2033,S11,RE1,0.0
LNDMAIRNF,WTRPRC,1,2034,S11,RE1,0.0
LNDMAIRNF,WTRPRC,1,2035,S11,RE1,0.0
LNDRICIRR,AGRDSL,1,2020,S11,RE1,0.2695
LNDRICIRR,AGRDSL,1,2021,S11,RE1,0.3198
LNDRICIRR,AGRDSL,1,2022,S11,RE1,0.3784
LNDRICIRR,AGRDSL,1,2023,S11,RE1,0.4346
LNDRICIRR,AGRDSL,1,2024,S11,RE1,0.49
LNDRICIRR,AGRDSL,1,2025,S11,RE1,0.5437
LNDRICIRR,AGRDSL,1,2026,S11,RE1,0.5961
LNDRICIRR,AGRDSL,1,2027,S11,RE1,0.6469
LNDRICIRR,AGRDSL,1,2028,S11,RE1,0.6966
LNDRICIRR,AGRDSL,1,2029,S11,RE1,0.7454
LNDRICIRR,AGRDSL,1,2030,S11,RE1,0.7926
LNDRICIRR,AGRDSL,1,2031,S11,RE1,0.8084
LNDRICIRR,AGRDSL,1,2032,S11,RE1,0.8246
LNDRICIRR,AGRDSL,1,2033,S11,RE1,0.8414
LNDRICIRR,AGRDSL,1,2034,S11,RE1,0.8581
LNDRICIRR,AGRDSL,1,2035,S11,RE1,0.8752
LNDRICIRR,AGRWAT,1,2020,S11,RE1,0.2475
LNDRICIRR,AGRWAT,1,2021,S11,RE1,0.3067
LNDRICIRR,AGRWAT,1,2022,S11,RE1,0.3707
LNDRICIRR,AGRWAT,1,2023,S11,RE1,0.4434
LNDRICIRR,AGRWAT,1,2024,S11,RE1,0.51
LNDRICIRR,AGRWAT,1,2025,S11,RE1,0.5881
LNDRICIRR,AGRWAT,1,2026,S11,RE1,0.6569
LNDRICIRR,AGRWAT,1,2027,S11,RE1,0.7261
LNDRICIRR,AGRWAT,1,2028,S11,RE1,0.8104
LNDRICIRR,AGRWAT,1,2029,S11,RE1,0.8824
LNDRICIRR,AGRWAT,1,2030,S11,RE1,0.9543
LNDRICIRR,AGRWAT,1,2031,S11,RE1,0.9734
LNDRICIRR,AGRWAT,1,2032,S11,RE1,0.9929
LNDRICIRR,AGRWAT,1,2033,S11,RE1,1.0131
LNDRICIRR,AGRWAT,1,2034,S11,RE1,1.0507
LNDRICIRR,AGRWAT,1,2035,S11,RE1,1.0717
LNDRICIRR,LND,1,2020,S11,RE1,0.55
LNDRICIRR,LND,1,2021,S11,RE1,0.6526
LNDRICIRR,LND,1,2022,S11,RE1,0.7723
LNDRICIRR,LND,1,2023,S11,RE1,0.8869
LNDRICIRR,LND,1,2024,S11,RE1,1.0
LNDRICIRR,LND,1,2025,S11,RE1,1.1096
LNDRICIRR,LND,1,2026,S11,RE1,1.2165
LNDRICIRR,LND,1,2027,S11,RE1,1.3202
LNDRICIRR,LND,1,2028,S11,RE1,1.4217
LNDRICIRR,LND,1,2029,S11,RE1,1.5213
LNDRICIRR,LND,1,2030,S11,RE1,1.6175
LNDRICIRR,LND,1,2031,S11,RE1,1.6498
LNDRICIRR,LND,1,2032,S11,RE1,1.6829
LNDRICIRR,LND,1,2033,S11,RE1,1.7171
LNDRICIRR,LND,1,2034,S11,RE1,1.7512
LNDRICIRR,LND,1,2035,S11,RE1,1.7862
LNDRICIRR,WTRPRC,1,2020,S11,RE1,0.66
LNDRICIRR,WTRPRC,1,2021,S11,RE1,0.7701
LNDRICIRR,WTRPRC,1,2022,S11,RE1,0.9036
LNDRICIRR,WTRPRC,1,2023,S11,RE1,1.0199
LNDRICIRR,WTRPRC,1,2024,S11,RE1,1.14
LNDRICIRR,WTRPRC,1,2025,S11,RE1,1.2428
LNDRICIRR,WTRPRC,1,2026,S11,RE1,1.3503
LNDRICIRR,WTRPRC,1,2027,S11,RE1,1.4522
LNDRICIRR,WTRPRC,1,2028,S11,RE1,1.5354
LNDRICIRR,WTRPRC,1,2029,S11,RE1,1.6278
LNDRICIRR,WTRPRC,1,2030,S11,RE1,1.7146
LNDRICIRR,WTRPRC,1,2031,S11,RE1,1.7488
LNDRICIRR,WTRPRC,1,2032,S11,RE1,1.7839
LNDRICIRR,WTRPRC,1,2033,S11,RE1,1.8201
LNDRICIRR,WTRPRC,1,2034,S11,RE1,1.8388
LNDRICIRR,WTRPRC,1,2035,S11,RE1,1.8755
LNDRICRNF,AGRDSL,1,2020,S11,RE1,0.4184
LNDRICRNF,AGRDSL,1,2021,S11,RE1,0.3766
LNDRICRNF,AGRDSL,1,2022,S11,RE1,0.3346
LNDRICRNF,AGRDSL,1,2023,S11,RE1,0.2928
LNDRICRNF,AGRDSL,1,2024,S11,RE1,0.2511
LNDRICRNF,AGRDSL,1,2025,S11,RE1,0.209
LNDRICRNF,AGRDSL,1,2026,S11,RE1,0.1673
LNDRICRNF,AGRDSL,1,2027,S11,RE1,0.1255
